ID,Symbol,Open Time,Volume,Side,Close Time,Open Price,Close Price,Stop Loss,Take Profit,Swap,Commission,Profit,Reason
M03619472081572991,EURUSD,10/09/2025 08:40:22,0.99,BUY,10/09/2025 13:00:16,1.16939,1.16978,1.16858,1.17738,0.00,-4.64,33.97,User
M03818682711575024,EURUSD,10/09/2025 08:40:23,0.99,BUY,10/09/2025 08:41:03,1.16939,1.16926,1.16822,1.17738,0.00,-4.64,-17.51,User
